"No","Fitur","Skenario","Prasyarat","Langkah Uji","Data Uji","Hasil yang Diharapkan","Hasil Aktual","Status"
"1","Booting Perangkat","Power-on & boot stabil","PSU sesuai, wiring benar","Nyalakan perangkat, amati 3–5 menit","Cold boot","Boot sukses tanpa restart loop; masuk mode normal","",""
"2","Proteksi Sistem","Watchdog (WDT) tetap aman","Firmware aktif","Buat kondisi beban tinggi, amati","Stress 5–10 menit","Tidak hang; jika hang, recovery berjalan dan sistem kembali normal","",""
"3","Konektivitas","WiFi connect","SSID/password benar","Nyalakan, tunggu konek WiFi","SSID valid","Tersambung WiFi; jika gagal, retry sampai konek","",""
"4","Konektivitas","WiFi auto reconnect","WiFi terhubung","Matikan AP 1–2 menit, hidupkan lagi","AP off/on","Reconnect otomatis tanpa reboot","",""
"5","Konektivitas","MQTT connect","Broker aktif, kredensial valid","Nyalakan, pantau koneksi MQTT","Broker reachable","MQTT connect sukses; status online terlihat di broker","",""
"6","Konektivitas","MQTT auto reconnect","MQTT terhubung","Matikan broker 1–2 menit, hidupkan","Broker off/on","Reconnect otomatis; publish lanjut normal","",""
"7","Waktu & Jadwal","Sinkronisasi waktu","Internet/NTP tersedia (jika dipakai)","Nyalakan, cek waktu sistem","Setelah boot","Waktu valid; jadwal mengikuti waktu benar","",""
"8","Komunikasi RS485","Modbus stabil","Semua slave Modbus terpasang","Jalankan sistem normal 10 menit","Normal traffic","Tidak ada timeout beruntun; retry menangani error sporadis","",""
"9","Komunikasi RS485","Handling Modbus timeout","Modbus aktif","Putus RS485 salah satu slave, lalu sambung lagi","Kabel putus 2–5 menit","Error terdeteksi; sistem tetap hidup; pulih setelah tersambung","",""
"10","Sensor Level","Ultrasonic valid range","Sensor terpasang","Baca saat level berubah","Level rendah/tinggi","Nilai cm masuk akal; out-of-range ditolak/invalid","",""
"11","Sensor Level","Ultrasonic noise/spike","Sensor terpasang","Buat gangguan (riak/halangan), amati","Spike sesaat","Tidak memicu aksi berbahaya; kembali stabil","",""
"12","Sensor Tekanan","Pembacaan pressure stabil","Sensor terpasang","Amati nilai saat pompa off→on","Transisi off→on","Nilai berubah wajar; smoothing tidak merusak pembacaan","",""
"13","Sensor Tekanan","Pressure fault","Sensor terpasang","Lepas sensor / buat nilai abnormal","0 / ekstrem","Fault terdeteksi; tidak memaksa kontrol berbahaya","",""
"14","Sensor Flow","Akurasi debit/volume","Flow meter terpasang","Alirkan air, bandingkan alat ukur","5–10 L","Pembacaan sesuai toleransi","",""
"15","Sensor Flow","Deteksi flow=0","Flow meter terpasang","Pompa on tapi aliran dihentikan","No-flow","No-flow terdeteksi; proteksi stall/timeout aktif bila disyaratkan","",""
"16","Sensor EC","Pembacaan EC","Sensor EC terpasang","Uji dengan larutan standar","Larutan standar","Nilai EC sesuai toleransi; stabil setelah settling","",""
"17","Sensor EC","EC fault/disconnect","Sensor EC terpasang","Putus sensor/komunikasi","Disconnect","Error terdeteksi; kontrol terkait tidak “liar”","",""
"18","Aktuator Valve","Valve OPEN","Relay & valve terpasang","Perintah buka valve, cek fisik & status","Valve 1 OPEN","Valve membuka; status sistem update benar","",""
"19","Aktuator Valve","Valve CLOSE","Relay & valve terpasang","Perintah tutup valve","Valve 1 CLOSE","Valve menutup; status sistem update benar","",""
"20","Aktuator Valve","Anti-konflik coil","Relay terpasang","Uji skenario coil open & close konflik","Konflik coil","Konflik terdeteksi; coil dimatikan; status gagal/safety","",""
"21","Aktuator Valve","Switching multi-valve","Banyak valve terpasang","Buka/tutup antar valve berurutan cepat","Urutan cepat","Tidak nyangkut; tidak konflik; jeda cukup","",""
"22","Aktuator Pompa/VFD","Set frekuensi VFD","VFD terhubung","Set beberapa frekuensi, ukur indikator VFD","10/25/50 Hz","VFD mengikuti setpoint dalam toleransi; tidak melebihi batas","",""
"23","Aktuator Pompa/VFD","Update frekuensi cepat","VFD terhubung","Ubah setpoint naik/turun cepat","10↔40 Hz","Perubahan aman; sistem stabil; nilai akhir benar","",""
"24","Mode Operasi","Manual control (jika ada)","MQTT/HMI tersedia","Aktifkan manual, kontrol valve/pompa","Manual command","Aktuator mengikuti perintah; tidak dioverride scheduler","",""
"25","Mode Operasi","Auto (scheduler) start","Jadwal sudah diset","Aktifkan auto, tunggu waktu start","Start time valid","Siklus mulai sesuai jadwal (valve/pompa/VFD)","",""
"26","Mode Operasi","Auto stop sesuai target/durasi","Auto aktif","Jalankan 1 siklus penuh","Durasi/target X","Setelah tercapai, pompa off & valve ditutup sesuai aturan","",""
"27","Proteksi Proses","Stall/timeout irigasi","Auto aktif","Buat kondisi macet (flow 0 / tekanan abnormal)","Stall","Sistem menghentikan proses & masuk kondisi aman","",""
"28","Fail-safe","Sensor gagal beruntun","Sensor dibuat gagal","Putus sensor sampai ambang error","Consecutive error","Masuk kondisi aman (stop pump/stop dosing sesuai desain)","",""
"29","Telemetri","Publish data MQTT","MQTT aktif","Pantau topik saat operasi","5–10 menit","Data sensor/aktuator terpublish periodik & konsisten","",""
"30","Kontrol Jarak Jauh","Command MQTT ke aktuator","MQTT aktif","Kirim command buka/tutup valve, set VFD","Command valid","Command dieksekusi; feedback status/ack muncul","",""
"31","Keandalan","Recovery power loss","Sistem sedang jalan","Cabut power lalu nyalakan lagi","Power loss","Boot normal; kembali ke state aman lalu lanjut sesuai mode","",""
"32","Performa","Beban maksimum normal","Semua modul terpasang","Operasikan sensor polling + MQTT + kontrol bersamaan","Worst-case normal","Tidak reset; latensi masih wajar; tidak backlog ekstrem","",""
